,discipline,MUST
001-MPI-conflict-put-load-local-no.c,conflict,TN
002-MPI-conflict-put-store-local-yes.c,conflict,TP
003-MPI-conflict-put-put-local-no.c,conflict,TN
004-MPI-conflict-get-load-local-yes.c,conflict,TP
005-MPI-conflict-get-store-local-yes.c,conflict,TP
006-MPI-conflict-get-put-local-yes.c,conflict,TP
007-MPI-conflict-get-get-local-yes.c,conflict,TP
008-MPI-conflict-acc-store-local-yes.c,conflict,TP
009-MPI-conflict-acc-load-local-no.c,conflict,TN
010-MPI-conflict-gacc-store-local-yes.c,conflict,TP
011-MPI-conflict-gacc-load-local-yes.c,conflict,TP
012-MPI-conflict-fop-store-local-yes.c,conflict,FN
013-MPI-conflict-fop-load-local-yes.c,conflict,FN
014-MPI-conflict-cas-store-local-yes.c,conflict,FN
015-MPI-conflict-cas-load-local-yes.c,conflict,FN
016-MPI-conflict-get-load-remote-no.c,conflict,TN
017-MPI-conflict-get-get-remote-no.c,conflict,TN
018-MPI-conflict-get-store-remote-yes.c,conflict,TP
019-MPI-conflict-get-put-remote-yes.c,conflict,TP
020-MPI-conflict-get-gaccread-remote-no.c,conflict,TN
021-MPI-conflict-get-acc-remote-yes.c,conflict,FN
022-MPI-conflict-put-load-remote-yes.c,conflict,TP
023-MPI-conflict-put-store-remote-yes.c,conflict,TP
024-MPI-conflict-put-put-remote-yes.c,conflict,TP
025-MPI-conflict-put-gaccread-remote-yes.c,conflict,FN
026-MPI-conflict-put-acc-remote-yes.c,conflict,FN
027-MPI-conflict-acc-load-remote-yes.c,conflict,FN
028-MPI-conflict-acc-store-remote-yes.c,conflict,FN
029-MPI-conflict-acc-acc-remote-no.c,conflict,TN
030-MPI-conflict-acc-gaccread-remote-no.c,conflict,TN
031-MPI-conflict-gaccread-gaccread-remote-no.c,conflict,TN
032-MPI-conflict-gaccread-load-remote-no.c,conflict,TN
033-MPI-conflict-gaccread-store-remote-yes.c,conflict,FN
034-MPI-conflict-gacc-store-remote-yes.c,conflict,FN
035-MPI-conflict-gacc-gacc-remote-no.c,conflict,TN
036-MPI-conflict-fop-fop-remote-no.c,conflict,TN
037-MPI-conflict-fop-store-remote-yes.c,conflict,FN
038-MPI-conflict-cas-store-remote-yes.c,conflict,FN
039-MPI-conflict-cas-cas-remote-no.c,conflict,TN
001-MPI-sync-fence-local-yes.c,sync,TP
002-MPI-sync-fence-local-no.c,sync,TN
003-MPI-sync-lock-local-yes.c,sync,TP
004-MPI-sync-lock-local-no.c,sync,TN
005-MPI-sync-lock-flush-local-yes.c,sync,TP
006-MPI-sync-lock-flush-local-no.c,sync,TN
007-MPI-sync-lockall-flushlocalall-local-yes.c,sync,TP
008-MPI-sync-lockall-flushlocalall-local-no.c,sync,TN
009-MPI-sync-request-local-yes.c,sync,TP
010-MPI-sync-request-local-no.c,sync,TN
011-MPI-sync-pscw-local-yes.c,sync,TP
012-MPI-sync-pscw-local-no.c,sync,TN
013-MPI-sync-lockall-flushall-remote-no.c,sync,TN
014-MPI-sync-lockall-flushall-remote-yes.c,sync,TP
015-MPI-sync-lockall-barrier-remote-no.c,sync,TN
016-MPI-sync-lockall-barrier-remote-yes.c,sync,TP
017-MPI-sync-lockall-remote-yes.c,sync,TP
018-MPI-sync-fence-3procs-remote-yes.c,sync,TP
019-MPI-sync-fence-3procs-remote-no.c,sync,TN
020-MPI-sync-lock-barrier-nonconsistent-remote-yes.c,sync,TP
021-MPI-sync-lock-barrier-remote-yes.c,sync,TP
022-MPI-sync-lock-barrier-remote-no.c,sync,TN
023-MPI-sync-lock-barrier-sameorigin-remote-no.c,sync,TN
024-MPI-sync-lock-barrier-sameorigin-remote-yes.c,sync,TP
025-MPI-sync-lock-flushlocal-sameorigin-remote-yes.c,sync,TP
026-MPI-sync-lock-flushlocal-sameorigin-remote-no.c,sync,TN
027-MPI-sync-lock-exclusive-remote-no.c,sync,TN
028-MPI-sync-lock-exclusive-3procs-remote-no.c,sync,TN
029-MPI-sync-lock-exclusive-remote-yes.c,sync,TP
030-MPI-sync-lock-sendrecv-remote-yes.c,sync,TP
031-MPI-sync-lock-sendrecv-remote-no.c,sync,TN
032-MPI-sync-lock-sendrecv-3procs-remote-no.c,sync,FP
033-MPI-sync-lock-sendrecv-3procs-remote-yes.c,sync,TP
034-MPI-sync-pscw-remote-no.c,sync,TN
035-MPI-sync-pscw-remote-yes.c,sync,TP
036-MPI-sync-polling-remote-yes.c,sync,TP
001-MPI-atomic-customdatatype-remote-no.c,atomic,TN
002-MPI-atomic-customdatatype-remote-yes.c,atomic,FN
003-MPI-atomic-disp-remote-yes.c,atomic,FN
004-MPI-atomic-disp-remote-no.c,atomic,TN
005-MPI-atomic-short-int-remote-yes.c,atomic,FN
006-MPI-atomic-float-int-remote-yes.c,atomic,FN
007-MPI-atomic-float-int-sameorigin-remote-yes.c,atomic,FN
008-MPI-atomic-double-float-remote-yes.c,atomic,FN
009-MPI-atomic-int-int-remote-no.c,atomic,TN
010-MPI-atomic-int-int-sameorigin-remote-no.c,atomic,TN
001-MPI-hybrid-master-local-yes.c,hybrid,TP
002-MPI-hybrid-master-local-no.c,hybrid,TN
003-MPI-hybrid-single-local-yes.c,hybrid,TP
004-MPI-hybrid-single-local-no.c,hybrid,TN
005-MPI-hybrid-ordered-local-no.c,hybrid,TN
006-MPI-hybrid-for-local-yes.c,hybrid,TP
007-MPI-hybrid-section-local-yes.c,hybrid,TP
008-MPI-hybrid-section-local-no.c,hybrid,TN
009-MPI-hybrid-task-local-yes.c,hybrid,TP
010-MPI-hybrid-task-local-no.c,hybrid,TN
011-MPI-hybrid-master-remote-yes.c,hybrid,TP
012-MPI-hybrid-master-remote-no.c,hybrid,TN
013-MPI-hybrid-single-remote-yes.c,hybrid,TP
014-MPI-hybrid-single-remote-no.c,hybrid,TN
015-MPI-hybrid-task-remote-yes.c,hybrid,TP
016-MPI-hybrid-task-remote-no.c,hybrid,TN
017-MPI-hybrid-section-remote-yes.c,hybrid,TP
018-MPI-hybrid-section-remote-no.c,hybrid,TN
019-MPI-hybrid-ordered-remote-no.c,hybrid,TN
020-MPI-hybrid-for-remote-yes.c,hybrid,TP
021-MPI-hybrid-section-barrier-origin-remote-yes.c,hybrid,FN
022-MPI-hybrid-section-sendrecv-origin-remote-yes.c,hybrid,FN
001-MPI-misc-put-load-deep-nesting-local.c,misc,TN
002-MPI-misc-put-load-aliasing-local.c,misc,TN
003-MPI-misc-put-load-retval-local.c,misc,TN
004-MPI-misc-put-load-memcpy-local.c,misc,TN
005-MPI-misc-put-store-deep-nesting-local.c,misc,TP
006-MPI-misc-put-store-aliasing-local.c,misc,TP
007-MPI-misc-put-store-retval-local.c,misc,TP
008-MPI-misc-put-store-memcpy-local.c,misc,TP
009-MPI-misc-put-put-deep-nesting-local.c,misc,TN
010-MPI-misc-put-put-aliasing-local.c,misc,TN
011-MPI-misc-put-put-retval-local.c,misc,TN
012-MPI-misc-put-put-memcpy-local.c,misc,TN
013-MPI-misc-get-load-deep-nesting-local.c,misc,TP
014-MPI-misc-get-load-aliasing-local.c,misc,TP
015-MPI-misc-get-load-retval-local.c,misc,TP
016-MPI-misc-get-load-memcpy-local.c,misc,TP
017-MPI-misc-get-load-deep-nesting-remote.c,misc,TN
018-MPI-misc-get-load-funcpointer-remote.c,misc,TN
019-MPI-misc-get-load-aliasing-remote.c,misc,TN
020-MPI-misc-get-load-retval-remote.c,misc,TN
021-MPI-misc-get-load-memcpy-remote.c,misc,TN
022-MPI-misc-get-store-deep-nesting-remote.c,misc,TP
023-MPI-misc-get-store-funcpointer-remote.c,misc,FN
024-MPI-misc-get-store-aliasing-remote.c,misc,TP
025-MPI-misc-get-store-retval-remote.c,misc,TP
026-MPI-misc-get-store-memcpy-remote.c,misc,FN
027-MPI-misc-put-load-deep-nesting-remote.c,misc,TP
028-MPI-misc-put-load-funcpointer-remote.c,misc,FN
029-MPI-misc-put-load-aliasing-remote.c,misc,TP
030-MPI-misc-put-load-retval-remote.c,misc,TP
031-MPI-misc-put-load-memcpy-remote.c,misc,FN
